file_name,job_id,is_downloaded
news_data_batch_part79.jsonl,batch_673cd3258adc8190b34ef6db33938f93,1
news_data_batch_part80.jsonl,batch_673cd32f06f48190b4378fb5fd640470,1
news_data_batch_part81.jsonl,batch_673cd337c2008190b25ab3a54a6d2ab0,1
news_data_batch_part82.jsonl,batch_673cd341533c8190ac4e3bdd237790f2,1
news_data_batch_part83.jsonl,batch_673cd34aa8bc819092a8fa1a85669a35,1
news_data_batch_part84.jsonl,batch_673cd35477d88190b6b8d8f4e5a6df1c,1
news_data_batch_part85.jsonl,batch_673cd35df1b48190bf3e4b7de87713a4,1
news_data_batch_part86.jsonl,batch_673cd36764748190bb347e238728821f,1
news_data_batch_part87.jsonl,batch_673cd37841f88190bd44d6b8f9fdfa68,1
news_data_batch_part88.jsonl,batch_673cd38159808190bc6b174234243fb5,1
news_data_batch_part89.jsonl,batch_673cd38989148190a99096f31e01a8a5,1
news_data_batch_part90.jsonl,batch_673cd392f9e4819082a0516bd0535561,1
news_data_batch_part91.jsonl,batch_673cd39d35788190a3ecb37d790e8bf1,1
news_data_batch_part92.jsonl,batch_673cd3a7630c819085bcac21cc3f3ec1,1
news_data_batch_part93.jsonl,batch_673cd3b258f48190a88e6c056af71d07,1
news_data_batch_part94.jsonl,batch_673cd3bbc8508190b98c49d97fabae4b,1
news_data_batch_part95.jsonl,batch_673cd3c5433c819097074bda4ec3ef81,1
news_data_batch_part96.jsonl,batch_673cd3ce295081908de91f2a661f4f5b,1
news_data_batch_part97.jsonl,batch_673cd3d8542881909b26e8dfdae58d09,1
news_data_batch_part98.jsonl,batch_673cd3e10e608190bd1acecd69e85289,1
news_data_batch_part99.jsonl,batch_673cf4276be08190860664411df7ea88,1
news_data_batch_part100.jsonl,batch_673cf42f510c8190be5ccaaf5d79bd68,1
news_data_batch_part101.jsonl,batch_673cf4378c708190a6d8b881fc249e61,1
news_data_batch_part102.jsonl,batch_673cf44018248190b506c92bce084b4f,1
news_data_batch_part103.jsonl,batch_673cf448262c8190a9a2b725c73d6dbf,1
news_data_batch_part104.jsonl,batch_673cf450b9108190940023710f4d2a1d,1
news_data_batch_part105.jsonl,batch_673cf45896908190918c71dd4510f347,1
news_data_batch_part106.jsonl,batch_673cf46105088190957c517fdf4ec1bd,1
news_data_batch_part107.jsonl,batch_673cf46c1dcc8190b0551de8ca85cd1c,1
news_data_batch_part108.jsonl,batch_673cf47a684c8190b09042fc68ec5dbd,1
news_data_batch_part109.jsonl,batch_673cf48268508190aed00346d1483a81,1
news_data_batch_part110.jsonl,batch_673cf48a6ec8819081fd66ddddb39a59,1
news_data_batch_part111.jsonl,batch_673cf493aee8819086a85b66af636e33,1
news_data_batch_part112.jsonl,batch_673cf49c5ca08190970d12acfdea1bdc,1
news_data_batch_part113.jsonl,batch_673cf4a4f2688190a3c3f00cd0152a77,1
news_data_batch_part114.jsonl,batch_673cf4ae8f9081909261fd92585b9a3b,1
news_data_batch_part115.jsonl,batch_673cf4ba098881908f5e356dd292a027,1
news_data_batch_part116.jsonl,batch_673cf4c29ab48190b88ae33a913667d3,1
news_data_batch_part117.jsonl,batch_673cf4cb23a08190a35e73abc6d43d33,1
news_data_batch_part118.jsonl,batch_673cf4d56ce08190b3f1acf9534d70b7,1
news_data_batch_part119.jsonl,batch_673cf4dcf4e88190b86253c1b681b0a8,1
news_data_batch_part120.jsonl,batch_673cf4e66ca481908536fccb1c496279,1
news_data_batch_part121.jsonl,batch_673cf4ef706c8190a7d2a88e05f08e92,1
news_data_batch_part122.jsonl,batch_673cf4f78c3c8190bedc1758ec543c2a,1
news_data_batch_part123.jsonl,batch_673cf500606881908186cc24c58a5715,1
news_data_batch_part124.jsonl,batch_673cf5087ed08190aa7993e4dbab0435,1
news_data_batch_part125.jsonl,batch_673cf5108ec88190bbd0b7ed64ec4df2,1
news_data_batch_part126.jsonl,batch_673cf51a0fb88190a8ebad198918b65d,1
news_data_batch_part127.jsonl,batch_673cf52341b88190a4e976c4da0074fa,1
news_data_batch_part128.jsonl,batch_673cf52c73b48190a35d4b49648e0ef1,1
news_data_batch_part129.jsonl,batch_673cf534bc6c8190954ff1c3ca32cac7,1
news_data_batch_part130.jsonl,batch_673cf53ca4448190bd731c7c2c881a38,1
news_data_batch_part131.jsonl,batch_673cf544391481909229b1c23175cb75,1
news_data_batch_part132.jsonl,batch_673cf54cc0288190a6c468ad70d43a58,1
news_data_batch_part133.jsonl,batch_673cf554b7b08190af7f16622786cfd5,1
news_data_batch_part134.jsonl,batch_673cf55c9b9c8190a873c1b6607135ec,1
news_data_batch_part135.jsonl,batch_673cf564a6d48190b50e8a80caff5c80,1
news_data_batch_part136.jsonl,batch_673cf56d76448190bd346a8811239ab1,1
news_data_batch_part137.jsonl,batch_673cf576941081908978e142894bb924,1
news_data_batch_part138.jsonl,batch_673cf5806b4c819095b13945dc2370f2,1
news_data_batch_part139.jsonl,batch_673cf588fad08190bf8520da6eec8a54,1
news_data_batch_part140.jsonl,batch_673cf59185f08190b09dae6456a2f5e0,1
news_data_batch_part141.jsonl,batch_673cf59a17408190893b091cd7bb6d76,1
news_data_batch_part142.jsonl,batch_673cf5a2bda88190b6bfb3c4d6603ec5,1
news_data_batch_part143.jsonl,batch_673cf5ac6d1881908b4196a63b209d03,1
news_data_batch_part144.jsonl,batch_673cf5b67490819097259dc3a0f5cad1,1
news_data_batch_part145.jsonl,batch_673cf5c04c9c81909028547b4e8b4d48,1
news_data_batch_part146.jsonl,batch_673cf5c826388190aad561f943995ae5,1
news_data_batch_part147.jsonl,batch_673cf5d107148190981ec83fd3707bd3,1
news_data_batch_part148.jsonl,batch_673cf5d8ce28819088ed9c91b7060d48,1
news_data_batch_part149.jsonl,batch_673cf5e036648190b809346bdeb9cd94,1
news_data_batch_part150.jsonl,batch_673cf5e7ef1c8190b868b177487f92cd,1
news_data_batch_part151.jsonl,batch_673cf5ef4ef48190a0484e3f56e8fb68,1
news_data_batch_part152.jsonl,batch_673cf5f733fc8190bdf4f1a4c7789102,1
news_data_batch_part153.jsonl,batch_673cf5fdd7008190af7ea232c87b8edb,1
news_data_batch_part154.jsonl,batch_673cf604ea0081909aa80984e6dc40ae,1
news_data_batch_part155.jsonl,batch_673cf60c7e5c81908edbf2ce02206317,1
news_data_batch_part156.jsonl,batch_673cf61403848190bd3ba4074b0757aa,1
news_data_batch_part157.jsonl,batch_673cf61b40ec8190a34029d4ec44ddb4,1
news_data_batch_part158.jsonl,batch_673cf622815c81908ac88721393c1d52,1
news_data_batch_part159.jsonl,batch_673cf62a0f808190a3a07ab4637c7a29,1
news_data_batch_part160.jsonl,batch_673cf6325c988190bfd2a71a2f28948f,1
news_data_batch_part161.jsonl,batch_673cf63bc4d88190801fb593c9effb1e,1
news_data_batch_part162.jsonl,batch_673cf6436e948190adc333e6a4c17c75,1
news_data_batch_part163.jsonl,batch_673cf64ad7e8819081aeef97d9fadb87,1
news_data_batch_part164.jsonl,batch_673cf652ff2c8190943e260307dfd832,1
news_data_batch_part165.jsonl,batch_673cf65ada648190b8717a54b0ff47ec,1
news_data_batch_part166.jsonl,batch_673cf66345e881909c3ad8433e1183fd,1
news_data_batch_part167.jsonl,batch_673cf66b01d48190b38a7a44930de90d,1
news_data_batch_part168.jsonl,batch_673cf673dfa48190a8bc64a226ba55d4,1
news_data_batch_part169.jsonl,batch_673cf67c5aa081909765456fc40ea8d1,1
news_data_batch_part170.jsonl,batch_673cf68566708190ac2e042836874fb2,1
news_data_batch_part171.jsonl,batch_673cf68cdf248190bcbc3576804d388c,1
news_data_batch_part172.jsonl,batch_673cf694561c81908fd4f4d5c8918797,1
news_data_batch_part173.jsonl,batch_673cf69c00508190b21c25c7f53c332f,1
news_data_batch_part174.jsonl,batch_673cf6a2efb48190824dd28e7e3a6626,1
news_data_batch_part175.jsonl,batch_673cf6ab114081908aea9cf5aa512064,1
